allpass,alpass
atone,atone
bal,balance
biquad,biquad
butbp,butbp
butbr,butbr
buthp,buthp
butlp,butlp
clip,clip
comb,comb
dcblock,dcblock
delay,delay
dist,distort1
drip,dripwater
dust,dust
eqfil,eqfil
fofilt,fofilter
fosc,foscili
gbuzz,gbuzz
gen_line,GEN27
gen_sinesum,GEN10
gen_xline,GEN25
jitter,jitter
lpf18,lpf18
metro,metro
mode,mode
moogladder,moogladder
osc,oscili
phasor,phasor
pluck,repluck
port,portk
posc3,poscil3
randi,randi
reson,reson
revsc,reverbsc
rms,rms
streson,streson
tbvcf,tbvcf
tone,tone
vco,vco
vdelay,vdelay
